,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,redemptionRate,timestamp,redemptionPriceActual,redemptionRateActual,activeLiquidations,currentFsmUpdate,currentMedianizerUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price
44,11873231,280443.04645579687,281398.42422861006,0.0018607052299780288,3.337971055281501,"{'block': '11873145', 'id': '0x0d0dc8541233b7f4383fea092f0cebe6aec24fcff77fefe31b89607fe37c766a-293', 'value': '3.139997952302344127658753193'}",{'hourlyRate': '0.999999983864118426707218031'},1613550597,3.1399979523023442,0.9999999838641185,0,{'value': '1767.12510139'},{'value': '1793.92791588'},10000000,1,1.019999999999999999972831879,1759.13635639850126996,1767.12510139
45,11873560,280443.04645579687,281398.96533332684,0.0018784176372665861,3.369745837173881,"{'block': '11873428', 'id': '0xe43be751c8b7c5b67e9676319c87a807ff2e6707af1891b1e145b0be24b2791d-215', 'value': '3.139997902043856919510804449'}",{'hourlyRate': '0.999999983864118426707218031'},1613554511,3.139997902043857,0.9999999838641185,0,{'value': '1795.69162337'},{'value': '1793.92791588'},10000000,1,1.019999999999999999972831879,1763.80635639850126996,1795.69162337
46,11873687,280943.0304909943,281899.6347488462,0.0018145544732714781,3.2910576659553077,"{'block': '11873428', 'id': '0xe43be751c8b7c5b67e9676319c87a807ff2e6707af1891b1e145b0be24b2791d-215', 'value': '3.139997902043856919510804449'}",{'hourlyRate': '0.999999983864118426707218031'},1613556146,3.139997902043857,0.9999999838641185,0,{'value': '1795.69162337'},{'value': '1813.70012002'},10000000,1,1.019999999999999999972831879,1760.80735639850126996,1795.69162337
47,11874166,285943.0304909943,286899.1289106504,0.0017194596142441352,3.1118873915745833,"{'block': '11874001', 'id': '0x0052f54db21cad0f39d6a93dc3cb86710a2eba5f45f92a01bb6674e203c67243-243', 'value': '3.139997800189848766216163966'}",{'hourlyRate': '0.999999983864118426707218031'},1613562053,3.1399978001898488,0.9999999838641185,0,{'value': '1813.70012002'},{'value': '1809.8054562'},10000000,1,1.019999999999999999972831879,1780.80735639850126996,1813.70012002
48,11874355,285943.0304909943,286900.7426117338,0.0017194596142441352,3.1118873915745833,"{'block': '11874283', 'id': '0x450f8be95f039f977246fb49aec32e9686518b74427492f7c75d1c465f4bc669-101', 'value': '3.139997754683706164484732585'}",{'hourlyRate': '0.999999987053924405680167733'},1613564775,3.1399977546837063,0.9999999870539245,0,{'value': '1818.22969948'},{'value': '1809.8054562'},10000000,1,1.019999999999999999972831879,1784.30735639850126996,1818.22969948
49,11874737,387543.0304909943,388502.076898369,0.0017445635050906544,3.1978023504662207,"{'block': '11874533', 'id': '0xa009cc3d49ddcc0d0c240e1269673ee8515078ea65d50d7f7f930592ef7120b5-291', 'value': '3.139997713445881839237659705'}",{'hourlyRate': '0.999999987053924405680167733'},1613569901,3.1399977134458816,0.9999999870539245,0,{'value': '1809.8054562'},{'value': '1833.01'},10000000,1,1.019999999999999999972831879,2064.80735639850126996,1809.8054562
50,11874799,421343.0304909943,422302.4080881381,0.0019431527307820998,3.536287020572997,"{'block': '11874533', 'id': '0xa009cc3d49ddcc0d0c240e1269673ee8515078ea65d50d7f7f930592ef7120b5-291', 'value': '3.139997713445881839237659705'}",{'hourlyRate': '0.999999987053924405680167733'},1613570872,3.1399977134458816,0.9999999870539245,0,{'value': '1833.01'},{'value': '1819.87085449'},10000000,1,1.019999999999999999972831879,2188.30735639850126996,1833.01
51,11875033,1951543.1184909942,1952505.9243920343,0.0018221540838005731,3.316085109498592,"{'block': '11874799', 'id': '0x61da7aa17a5631d6862e18e0f263ff706c02cabdad8cb692018ad75cb6506a14-158', 'value': '3.13999767346145302020391289'}",{'hourlyRate': '0.999999987053924405680167733'},1613574058,3.139997673461453,0.9999999870539245,0,{'value': '1833.01'},{'value': '1819.87085449'},10000000,1,1.019999999999999999972831879,7895.80735639850126996,1833.01
52,11875301,2238042.196389515,2239009.564165635,0.0018041459046079882,3.2723807753370244,"{'block': '11875281', 'id': '0x16d7da35b16a78991ecaadfe920852cdae56c0f677dd1f76634999cb0a17cbde-43', 'value': '3.139997599951532967196674491'}",{'hourlyRate': '0.999999994736310484671700919'},1613577613,3.139997599951533,0.9999999947363105,0,{'value': '1819.87085449'},{'value': '1813.81160303'},10000000,1,1.019999999999999999972831879,9076.50445639850126996,1819.87085449
53,11875602,2617859.195338348,2618832.1544408207,0.0018349419420148896,3.328238985313008,"{'block': '11875331', 'id': '0xb3aee073845f8c45686b440cf12a15e3998d4ab84d1a54ede0877c603ce04da6-244', 'value': '3.13999759671021391973210305'}",{'hourlyRate': '0.999999994736310484671700919'},1613581235,3.139997596710214,0.9999999947363105,0,{'value': '1819.87085449'},{'value': '1813.81160303'},10000000,1,1.019999999999999999972831879,10401.90445639850126996,1819.87085449
54,11875858,2924629.1942718583,2925608.3968013637,0.0019588139396576683,3.5521278098302695,"{'block': '11875635', 'id': '0xfe6735f19686bbea39e80b4e0b433a79bf8952a0c9dc58b5f6b418daf735e67b-246', 'value': '3.139997580251108043375167375'}",{'hourlyRate': '0.999999994736310484671700919'},1613584931,3.139997580251108,0.9999999947363105,0,{'value': '1813.81160303'},{'value': '1813.40745944'},10000000,1,1.019999999999999999972831879,11715.79245639850126996,1813.81160303
55,11876130,3803579.193051148,3804566.42889216,0.0019301918424869406,3.511926151649714,"{'block': '11875903', 'id': '0x91a35d276c68a2ce93e6be23a00f7cde5fe4677edf496c5800a574efb0c4aac1-156', 'value': '3.139997563006923569227115202'}",{'hourlyRate': '0.999999994736310484671700919'},1613588439,3.1399975630069235,0.9999999947363105,0,{'value': '1813.40745944'},{'value': '1819.47'},10000000,1,1.019999999999999999972831879,14954.79245639850126996,1813.40745944
56,11876427,3874279.1879520463,3875275.4291081107,0.0018918121016140352,3.445102854556243,"{'block': '11876187', 'id': '0x382f4391c79d1ba3e8bfc39f634fddc2427a93dc600e06e1c54b8a7457d7bf0d-435', 'value': '3.139997545960156635548066816'}",{'hourlyRate': '0.999999994736310484671700919'},1613592287,3.139997545960157,0.9999999947363105,0,{'value': '1813.40745944'},{'value': '1821.05974035'},10000000,1,1.019999999999999999972831879,15208.79245639850126996,1813.40745944
